Time,Symbol,Price,ATR,Buy Price,Take Profit,Stop Loss
2025-05-16 15:50:03,ETH/USDT,2534.0,13.831342274168833,2527.0843288629158,2547.831342274169,2520.168657725831
2025-05-16 15:50:07,NEO/USDT,6.58,0.04395580284712585,6.558022098576437,6.623955802847126,6.536044197152874
2025-05-16 15:50:08,NEO/USDT,6.58,0.09934221635628016,6.53032889182186,6.679342216356281,6.48065778364372
2025-05-16 15:50:14,ADA/USDT,0.7509,0.005032908848312589,0.7483835455758437,0.7559329088483125,0.7458670911516875
2025-05-16 15:50:16,XRP/USDT,2.3646,0.013269828368280973,2.3579650858158594,2.3778698283682806,2.351330171631719
2025-05-16 15:50:44,HOT/USDT,0.00114,9.008311304485351e-06,0.0011354958443477573,0.0011490083113044852,0.0011309916886955147
2025-05-16 15:50:45,HOT/USDT,0.00114,1.9427233392753063e-05,0.0011302863833036235,0.001159427233392753,0.0011205727666072469
2025-05-16 15:50:46,ZIL/USDT,0.01306,9.233450664435122e-05,0.013013832746677825,0.013152334506644351,0.01296766549335565
2025-05-16 15:50:48,ZRX/USDT,0.2724,0.0017517648166119045,0.27152411759169404,0.27415176481661185,0.2706482351833881
2025-05-16 15:50:51,FET/USDT,0.757,0.006596816664498933,0.7537015916677505,0.763596816664499,0.750403183335501
2025-05-16 15:50:57,IOST/USDT,0.003868,2.415523452979527e-05,0.003855922382735102,0.0038921552345297953,0.0038438447654702045
2025-05-16 15:50:58,IOST/USDT,0.003868,5.545702522285099e-05,0.0038402714873885745,0.003923457025222851,0.003812542974777149
2025-05-16 15:50:59,CELR/USDT,0.01033,8.345923340176836e-05,0.010288270383299117,0.010413459233401768,0.010246540766598233
2025-05-16 15:51:00,CELR/USDT,0.01033,0.0001808270687130792,0.010239586465643461,0.010510827068713079,0.010149172931286922
2025-05-16 16:02:37,ATOM/USDT,4.814,0.13083115492613867,4.748584422536931,4.944831154926138,4.683168845073862
2025-05-16 16:05:26,ATOM/USDT,4.818,0.13083115492613867,4.7525844225369305,4.948831154926138,4.687168845073861
2025-05-16 16:07:28,IOTA/USDT,0.2239,0.0017944401575295968,0.22300277992123518,0.2256944401575296,0.22210555984247038
2025-05-16 16:08:15,ATOM/USDT,4.82,0.13083115492613867,4.754584422536931,4.950831154926139,4.689168845073862
2025-05-16 16:08:37,WAN/USDT,0.1251,0.0007574784180583248,0.12472126079097083,0.1258574784180583,0.12434252158194166
2025-05-16 16:10:16,IOTA/USDT,0.2239,0.0018015876691529677,0.2229992061654235,0.22570158766915296,0.222098412330847
2025-05-16 16:10:23,TRX/USDT,0.272,0.000647885867969662,0.27167605706601516,0.2726478858679697,0.27135211413203036
2025-05-16 16:11:03,ATOM/USDT,4.822,0.13083115492613867,4.756584422536931,4.952831154926138,4.691168845073862
2025-05-16 16:11:04,TFUEL/USDT,0.03836,0.00019104324522869342,0.03826447837738565,0.03855104324522869,0.038168956754771305
2025-05-16 16:11:12,DUSK/USDT,0.0876,0.0007191700285770878,0.08724041498571146,0.08831917002857709,0.08688082997142291
2025-05-16 16:11:25,WAN/USDT,0.1251,0.0007574784180583248,0.12472126079097083,0.1258574784180583,0.12434252158194166
2025-05-16 16:11:41,HBAR/USDT,0.19574,0.0012653402794633366,0.19510732986026832,0.19700534027946334,0.19447465972053665
2025-05-16 16:12:54,QTUM/USDT,2.37,0.013198915396980343,2.36340054230151,2.3831989153969806,2.3568010846030196
2025-05-16 16:13:04,IOTA/USDT,0.2238,0.0018015876691529677,0.22289920616542352,0.22560158766915298,0.22199841233084702
2025-05-16 16:13:11,TRX/USDT,0.2722,0.000647885867969662,0.27187605706601514,0.27284788586796965,0.27155211413203034
2025-05-16 16:13:30,ZRX/USDT,0.2755,0.0017894207898177022,0.2746052896050912,0.2772894207898177,0.2737105792101823
2025-05-16 16:13:46,THETA/USDT,0.885,0.007126702417301782,0.8814366487913491,0.8921267024173017,0.8778732975826983
2025-05-16 16:13:51,ATOM/USDT,4.822,0.13083115492613867,4.756584422536931,4.952831154926138,4.691168845073862
2025-05-16 16:13:52,TFUEL/USDT,0.03831,0.00019104324522869342,0.03821447837738565,0.03850104324522869,0.0381189567547713
2025-05-16 16:14:01,DUSK/USDT,0.0879,0.0007263175402004598,0.08753684122989977,0.08862631754020046,0.08717368245979955
2025-05-16 16:14:14,WAN/USDT,0.125,0.0007574784180583248,0.12462126079097084,0.12575747841805832,0.12424252158194167
2025-05-16 16:16:06,VET/USDT,0.02864,0.00021199571662977013,0.028534002141685114,0.028851995716629768,0.02842800428337023
2025-05-16 16:16:40,ATOM/USDT,4.82,0.13083115492613867,4.754584422536931,4.950831154926139,4.689168845073862
2025-05-16 16:18:54,VET/USDT,0.02862,0.00021699897476613032,0.028511500512616934,0.02883699897476613,0.028403001025233868
2025-05-16 16:19:28,ATOM/USDT,4.814,0.13083115492613867,4.748584422536931,4.944831154926138,4.683168845073862
2025-05-16 16:21:42,VET/USDT,0.02859,0.0002184284770908046,0.0284807857614546,0.028808428477090805,0.028371571522909197
2025-05-16 16:22:16,ATOM/USDT,4.817,0.13083115492613867,4.751584422536931,4.9478311549261385,4.686168845073862
2025-05-16 16:24:31,VET/USDT,0.02862,0.0002184284770908046,0.028510785761454598,0.028838428477090804,0.028401571522909196
2025-05-16 16:25:05,ATOM/USDT,4.823,0.13083115492613867,4.757584422536931,4.953831154926139,4.692168845073862
2025-05-16 16:27:19,VET/USDT,0.02872,0.0002184284770908046,0.028610785761454597,0.028938428477090803,0.028501571522909195
